track_id;popularity;duration_ms;explicit;danceability;energy;tempo
3mDvi0k4LuCA7ViLf3Qb3O;60;170040;FALSO;759;684;107948
5D6xoqZwDoqRO5V9rNgxFO;54;267765;FALSO;62;21;98558
09t3kwndNebf3RV8DZ5pw3;37;250146;FALSO;497;254;110864
3yVSlc3y7YWZPAreTHjH9v;34;290480;FALSO;644;603;113413
5LHruF9uFyPxGpimaknrU8;55;198218;FALSO;45;254;92644
3SxMBVdL2gxhX5V5dXF9jy;51;225400;FALSO;548;3;135902
6XCPQygbj33s7OUxlbo6bX;48;259877;FALSO;521;507;108168
0IZJR2XrPdWqHdnpaPixw9;34;288426;FALSO;587;842;97013
3VIbZxc3oo1eAlb7tcRsG1;51;219363;FALSO;543;324;139883
3SBzDgdTwHOMSik82ZI6L2;54;208426;FALSO;742;636;95002
2hSag78vkaBXqpaDF3serw;32;283480;FALSO;707;402;9499
3wpZTp7HM8Dv25oExNgCC6;54;205586;FALSO;52;308;12593
63wsZUhUZLlh1OsyrZq7sz;61;304293;FALSO;392;251;204961
2FSkBDGsqZIxcsnKNgtMLx;55;239573;FALSO;531;296;106359
3e5UDAmMzMUM95PqjVHC4L;55;227128;FALSO;681;608;123991
2jcDDdBy1foaBC8X9owMrZ;34;243066;FALSO;569;861;77983
7KC4B2R255iYIPVG8S7Eey;33;369200;FALSO;707;296;88006
7DUnyslSCb05yeSmGGTJ81;45;77093;FALSO;519;646;121696
2lXGLbSXrSACMa2oelt4TE;33;244840;FALSO;608;705;111204
6uZroCk7E7L7RhY7NAvC3Y;34;275266;FALSO;585;734;11784
6ITdND5IQ7lHzjkyJZSt53;34;330720;FALSO;527;89;102644
71vcffc4Yfz0pt9AbaL386;49;163960;FALSO;495;22;126618
7wbSp6u3cGj5GTN0lNxZ4X;33;193874;FALSO;628;424;99696
0HL3y3bsKSARBSP0qaImwb;62;213732;FALSO;639;666;98384
1yZWcHtL0KMhKadWXG26SG;33;227053;FALSO;245;624;162586
4N1PJshrO7sHB468RoZQjL;31;215440;FALSO;387;526;130719
3NrUMv6TqphWgk2PdDdg4H;32;136543;FALSO;539;675;142041
42mkE3wbofBNickLHgdVlo;32;223707;VERDADERO;487;837;160025
3Re0unscFRNOkwwEGtxhCO;54;188181;FALSO;529;24;131266
4H7MpMZ4p3Cc06B11bcgL7;50;171760;FALSO;666;289;109965
7AKxbxzkxm2ERWrd1ggniO;58;306243;FALSO;451;318;123985
