artist_id;name
1021;Alligatoah
1022;Allisa Rose
1023;Allison
1024;Allison Ponthier
1025;Allman Brothers Band
1026;Allman Brown
1027;Allo Darlin'
1028;Ally Brooke
1029;Allyawan
1030;ALMA
1031;Alma Rasta
1032;Almafuerte
1033;Almanac
1034;ALMAR
1035;Almério
1036;Almeyda
1037;Almighty
1038;Almir Bezerra
1039;Almir Guineto
1040;Almir Sater
1041;Almklausi
1042;Almo X
1043;Alna
1044;Aloe Blacc
1045;Alogte Oho & His Sounds of Joy
1046;Alok
1047;Aloma Steele
1048;Alon
1049;Alone At Last
1050;Alonzo
1051;Alonzo Bodden
1052;Aloys Kontarsky
1053;Alpha
1054;ALPHA 9
1055;Alpha Blondy
1056;Alpha Portal
1057;Alpha Wann
1058;Alpha Wolf
1059;Alpha²
1060;Alphaville
1061;Alphawezen
1062;Alphaxone
1063;Alphonse Puthren
1064;Alpines
1065;Alptam
1066;Alquimia La Sonora Del XXI
1067;Alrahim Wright III
1068;Alt Bloom
1069;Altamash Faridi
1070;Altamira
1071;Alter Bridge
1072;Alter Egosz
1073;Altero
1074;Althaír & Alexandre
1075;Althea And Donna
1076;Altijd Larstig & Rob Gasd'rop
1077;Alto contraste
1078;al'Tyr
1079;Aluado
1080;Alugiana
1081;AlunaGeorge
1082;A-Lusion
1083;alva noto
1084;Álvaro De Luna
1085;Álvaro Del Castillo
1086;Alvaro Diaz
1087;Alvaro Rod
1088;Alvaro Soler
1089;Álvaro Tito
1090;Alvin & The Chipmunks
1091;Alvin Lee
1092;Alvino Rey
1093;Alvize Fantacone
1094;Always Never
1095;Alwin Raju
1096;Aly & Fila
1097;Alyssa Mendonsa
1098;Alyssa Palmer
1099;Amaal Mallik
1100;Amaarae
1101;Amada
1102;Amado Batista
1103;Amadou & Mariam
1104;AMAGII
1105;Amaia
1106;Amaia Montero
1107;Amal Antony Agustin
1108;Amal Jose
1109;Amalie Malling
1110;AMAN
1111;Amanajé Sound System
1112;Amanda Collis
1113;Amanda Cook
1114;Amanda Ferrari
1115;Amanda Ginsburg
1116;Amanda Holden
1117;Amanda Jenssen
1118;Amanda Loyola
1119;Amanda Reifer
1120;Amanda Wanessa
1121;Amanda Wilson
1122;Amanda Zamolo
1123;Amandeep Singh
1124;Amantej Hundal
1125;Amar
1126;Amar Arshi
1127;Amar Jalal
1128;Amar Noorie
1129;Amar Sandhu
1130;Amar Sangam
