track_id;key;loudness;mode;speechiness;acoousticness;liveness;valence;time_signature
2CsHDQ1WFLQBBpIEuLcL3z;10;-8508;1;263;395;333;437;4
24Gm1mIhO28NmgT17S95JE;6;-4203;1;526;353;33;644;4
6j9kSGlYLZdZ9sZkY9DjzY;5;-7655;1;311;478;127;101;4
2UJy2HHo4afrQbI5FizxLM;4;-10752;1;976;818;13;25;4
7HSk4yGZxfjOkHyOvZrBQZ;10;-9949;0;295;951;162;73;4
2Jhx81CSHw8xWwBqRM2mZR;2;-973;1;403;878;108;246;4
5P6ZBMWS66FVo6deJaDdHy;1;-14141;1;354;745;11;2;4
5SgFX13gtlQfsNUpoPshwD;7;-7247;1;257;758;25;221;4
7vu53hQrIoH7UGeh6qcct1;10;-6147;0;373;353;108;447;4
2KsdoMZsL2ajnjjYUWm1ZT;9;-6578;1;289;797;107;421;4
4NxUuupOGPquDhy1yFIZK3;3;-454;1;785;24;373;872;4
0avtLG17MT8kDf9xc67Niv;7;-7442;1;341;832;103;971;4
6jI7y83WjuyBne9b3IvdSs;1;-8437;1;313;92;149;161;4
0ngtyvPUKR4YTtkVKvZP02;2;-10359;1;275;75;114;158;3
5PoaNLRYLL7rywHSPUOZs8;0;-9229;1;316;793;744;278;4
6DwgZO7AMYelPFwr8WPhpg;7;-11707;1;284;758;111;228;4
5X3w2MfxgMTZkn2mTPQs0u;7;-9541;1;283;658;115;686;4
5PCwedwyeLZQ6xAUIKbwos;0;-465;1;318;931;136;338;4
32kyGOJpEOTFKR9wvPSsxJ;9;-3068;1;316;273;247;94;4
0ifc4mq2mVNefgQFmtXQpt;4;-5899;1;431;653;288;706;4
2gJ3ZOaiWr3jGHwevufOxr;5;-9694;1;552;705;113;432;4
37jsciEAFxwyjXx0kV6aO6;2;-7624;0;123;946;799;739;4
22KbVMZekQbkrHGrubQTpQ;0;-5354;1;4;194;101;592;4
4RiKD76gS8huCzwWqw0EGC;0;-4418;1;132;59;146;644;4
3XFhSbm8EdZD6Cjrm1dNJQ;7;-5055;1;549;287;108;341;4
3nImoHhXBOqYcdTN8gt9eE;8;-6571;1;302;651;981;346;4
4AYITlwiumljGdv0NIGR4T;8;-11174;0;412;81;804;445;4
3YvutLE6lwEyW4WMF5FIi6;9;-11261;0;436;891;874;259;4
3geIJghtdmVc7GeJio1xlj;9;-14335;1;583;901;107;297;4
1yycinn2WICj4UKGQ9xPjD;6;-20858;1;522;99;108;362;4
5Z8O4RFAmjA13jrOYIgyXA;6;-19928;1;339;941;107;647;3
1ABd3bWsG4FCKePjXeVfJG;1;-6483;0;313;302;843;661;4
4I18rXWixQBWc8JhTqx6Xn;7;-11661;1;386;652;606;919;4
3IORLAm07yxo4T7B8cRET3;0;-823;1;133;384;283;746;4
4sAX65hbNtEC1lceCdGuMt;7;-12427;1;301;932;119;525;4
6Xrq1dAFgZcSi5HuuHe27i;9;-8302;1;506;329;98;445;4
2TRXV6DoQLjdRrBR6ED6NP;2;-6843;1;272;13;317;433;4
6xXvAzowcCQmoKdDr1oIFJ;0;-9335;1;83;842;736;611;3
5L4G3nwKkd4wykW4BV9sVe;9;-959;1;589;638;128;551;4
0QzY6rP7C8IWMnpEyuQmC6;6;-10367;0;376;842;277;495;4
3XdStlaHnq3JrmQDCRqEET;0;-663;1;309;201;802;871;4
4h3rI4uxGsbA4LsLt1nB2t;9;-1338;1;861;918;185;457;4
2KhS0LVOw9ralhfbcIi7vL;0;-8596;1;295;54;124;155;4
6fPblqm2OhtEKvaUEQzLzJ;7;-1142;1;332;603;104;238;4
0wFSrH6x1iQOdUljUueAcd;0;-8062;1;511;864;112;29;3
1wSZdWFZphxDh6iJhWlIUi;11;-9063;1;236;795;146;549;4
5ZpSUdy5wL5Hvwsqz6JCAt;7;-5696;1;31;456;961;644;4
3mDvi0k4LuCA7ViLf3Qb3O;0;-5751;1;315;269;13;759;4
5D6xoqZwDoqRO5V9rNgxFO;11;-9633;0;274;911;108;163;3
09t3kwndNebf3RV8DZ5pw3;8;-11716;0;341;891;122;676;3
3yVSlc3y7YWZPAreTHjH9v;10;-583;1;263;306;262;516;4
5LHruF9uFyPxGpimaknrU8;4;-9873;1;414;827;204;248;4
3SxMBVdL2gxhX5V5dXF9jy;4;-1271;1;298;757;851;264;4
6XCPQygbj33s7OUxlbo6bX;7;-7007;1;319;162;148;153;4
0IZJR2XrPdWqHdnpaPixw9;4;-604;1;268;278;163;693;4
3VIbZxc3oo1eAlb7tcRsG1;0;-11258;1;316;452;412;181;4
3SBzDgdTwHOMSik82ZI6L2;11;-6744;1;331;446;817;48;4
2hSag78vkaBXqpaDF3serw;4;-9773;1;251;677;104;313;4
3wpZTp7HM8Dv25oExNgCC6;7;-11996;1;331;776;115;187;3
63wsZUhUZLlh1OsyrZq7sz;10;-9845;1;363;807;797;508;4
2FSkBDGsqZIxcsnKNgtMLx;1;-7594;1;304;84;124;212;4
3e5UDAmMzMUM95PqjVHC4L;8;-8369;1;339;62;136;315;4
2jcDDdBy1foaBC8X9owMrZ;1;-4547;0;406;425;204;511;4
7KC4B2R255iYIPVG8S7Eey;7;-11633;1;78;283;601;65;4
7DUnyslSCb05yeSmGGTJ81;2;-18898;1;433;982;105;395;4
2lXGLbSXrSACMa2oelt4TE;3;-5178;1;253;78;179;621;4
6uZroCk7E7L7RhY7NAvC3Y;9;-5365;1;32;334;934;413;4
6ITdND5IQ7lHzjkyJZSt53;7;-5651;1;665;433;118;425;4
71vcffc4Yfz0pt9AbaL386;5;-1116;1;355;847;957;345;4
